sentence,sentiment,sentiment_label
"The market expects SonoTek Corporation (SOTK) to deliver a year-over-year decline in earnings on lower revenues when it reports results for the quarter ended November 2022. This widely-known consensus outlook is important in assessing the company's earnings picture, but a",2,악재
"Entera Bio Ltd. (ENTX) closed at $0.88 in the latest trading session, marking a +1.87% move from the prior day. The stock outpaced the S&amp;P 500's daily loss of 1.56%. Elsewhere, the Dow lost 1.81%, while the tech-heavy Nasdaq lost 4.66%.",2,악재
"Know Labs, Inc., an emerging developer of non-invasive medical diagnostic technology, today announced it has been granted a new foundational patent that equates the company’ s Bio-RFID TM diagnostic technology to a current reference standard for glucose monitoring, widely used by diabetes researchers, hospital labs and glucose meter manufacturers, and...",0,중립
Fintel reports that Highbridge Capital Management has filed a 13G/A form with the SEC disclosing ownership of 0.61MM shares of Rose Hill Acquisition Corp - Class A (ROSE). This represents 4.23% of the co,0,중립
"GRAND CAYMAN, Cayman Islands, Jan. 17, 2023/ PRNewswire/-- Blockchain Coinvestors Acquisition Corp. I, a blank-check company formed for the purpose of acquiring or merging with one or more businesses, today announced that the extraordinary general meeting of its shareholders originally scheduled for Wednesday, January 18, 2023, is being postponed to Friday,...",0,중립
"Investors in Accel Entertainment, Inc. ACEL need to pay close attention to the stock based on moves in the options market lately. That is because the Jan 20, 2023 $15 Call had some of the highest implied volatility of all equity options today.",0,중립
(RTTNews) - The following are some of the stocks making big moves in Friday's pre-market trading (as of 07.15 A.M. ET).,0,중립
"Teladoc Health, Inc. TDOC announced that the company opted for a restructuring plan to improve profitability. It slashed around 6% of its non-clinician workforce, or about 300 workers, and lowered its real estate presence in certain markets to reduce costs.",1,호재
(RTTNews) - The following are some of the stocks making big moves in Wednesday's pre-market trading (as of 06.45 A.M. ET).,0,중립
"Investors in Resources Connection, Inc. RGP need to pay close attention to the stock based on moves in the options market lately. That is because the Feb 17, 2023 $12.50 Call had some of the highest implied volatility of all equity options today.",0,중립
"Fintel reports that Tekla Capital Management LLC has filed a 13G/A form with the SEC disclosing ownership of 1,727,067 shares of Rallybio Holdings, LLC (RLYB). This represents 4.6% of the company.",0,중립
"European shares recorded their worst single-day selloff of the year on Thursday, as disappointing earnings reports, weak U.S. economic data and hawkish comments from central bankers rekindled fears of a global economic slowdown.",1,호재
"Health care stocks were narrowly lower Thursday afternoon, with the NYSE Health Care Index slipping 0.3% while the Health Care Select Sector SPDR Fund (XLV) was down just 0.5%.",0,중립
(RTTNews) - The following are some of the stocks making big moves in Thursday's pre-market trading (as of 07.10 A.M. ET).,0,중립
"On January 31, 2023, among the underlying components of the Nasdaq, Unusual Whales saw unusual or noteworthy options trading volume and activity in Zoom Video Communications (ZM) 2/17 C $80.00.",0,중립
"Israel's Cognyte Software Ltd won a tender to sell intercept spyware to a Myanmar state-backed telecommunications firm a month before the Asian nation's February 2021 military coup, according to documents reviewed by Reuters.",0,중립
For Immediate Release,0,중립
The following are the top rated Basic Materials stocks according to Validea's Earnings Yield Investor model based on the published strategy of Joel Greenblatt. This value model looks for companies with high return on capital and earnings yields.MUELLER INDUSTRIES INC (MLI) is a m,0,중립
"Fintech Ecosystem Development Corp. announced today that Revofast LLC, FEXD's sponsor, has deposited an aggregate of $1,150,000, into FEXD's trust account. About Rana Financial Inc. Rana Financial, Inc. is a licensed money transfer company founded in 2009 as Rana Express and reorganized in 2022 as Rana Financial, Inc. Rana provides affordable, online, and...",0,중립
